Year,Total Foreign Exchange Reserves,Tourist Arrival,Gross Foreign Exchange Earnings From Tourism,Average Length of Stay,Travel & Tourism Direct Contribution to Employment
2002,105901.20,275468,7798.535,7.92,257800
2003,108229.40,338132,10369.409,9.6,336900
2004,130205.10,385297,12337.977,13.51,373000
2005,129896.40,375398,11814.853,9.09,285900
2006,165033.00,383926,11710.893,10.2,281000
2007,165126.00,526705,12645.761,11.96,326200
2008,212623.50,500277,20339.890,11.78,389900
2009,284260.70,509956,27959.800,11.32,412900
2010,268888.70,602867,28138.600,12.67,347400
2011,272153.10,736215,24610.800,13.12,416400
2012,439456.70,803092,30703.820,12.16,386800
2013,533297.00,797616,34210.576,12.6,402900
2014,665407.00,790118,46374.900,12.44,417100
2015,847679.00,538970,49783.840,13.16,426400
